text,prediction
I have a question periods zangu zimemiss hii month but cjakuwa na penetrative sex the last thing we did was dry humping with my man can I get pregnant for I am really worried about it.,1
What causes bad smelling v discharge?,1
How can I get twins,1
When is the right time to break my virginity,1
"I broke up with my girlfriend a year ago and I need her back,  but she keeps on reminding me how I broke her heart. So she always refuses to forgive me for that past and she has already moved on.. what should I do to get her back cause I can't stop thinking of her every night 🥹",1
Is it ok for a woman to make the first move kwa dude,1
2024-09-03T13:14:01.396521Z,1
Can p2 fail,1
Musturbation Hai reduce sex duration,1
Lend me with ten thousand I pay fees for my brother and pay house and buy something to eat I'll refund back please and God will bless you please,0
Does a girls Virgina gets wet before sex,1
"Mmmmmh the first time I had sex ,,  sikutumia   protector so  inabidi nmetumia P2 ofwc ilifanya menstruations yangu kuwa regular sasa sijui exact day nanyesha then  ,,",1
Is it normal to have pain cramps after period and blood spotting?,1
Kuna shida if you boyfriend anakuweka kidole wakati mna make out?,1
2024-01-30T14:42:01.864904Z,0
OK so I've been in a relationship with this guy for like 3 years and for all this time i feel like there's nothing to show for it.there were times that he would give me silent treatments and all that so i decided to disconnect emotionally from the relationship and eventually ended things with him cause i felt as though i wasn't valued.After some time he came back and apologized acknowledging that he was starving me of his time and attention.my question is what do i do with him coz honestly speaking i have no connections to him,1
"I have this recurring signs ,,, itching kwa vagina na thick white discharge that stick on the vaginal walls,,,it comes and goes after sometime,,,huwa inarudi like after two months",1
Is sex bad,1
2024-05-06T14:11:02.129328Z,1
I am a girl but I sometimes crush on girls.what should I do,1
"I have this guy we have known each other for a month now we have been friends lakini apparently we have fallen in love he tells me how he loves me 😍 and from his actions I am truly telling how much he loves me , He has went ahead and introduced me to his parents through a phone call with the saying that hataki kunidate na sijui wazazi wake, The guy stays in Nairobi me I stay in eldoret we have never meet we meet online and we became friends and we loved each other, He helps me whenever I need help he calls me on video calls and even on normal calls , I can tell we have bonded alot were now getting two months since, He is 24 am 20 please advice me here",1
"Am lazy ,I feel tired and am worried juu ndio naanza semester like nataka kukua energetic....unaeza nipea tips",1
So how can I use my femiplan pills to avoid my periods atleast once in a while because I have really painful periods?,1
What course the smell that come from Virginia,0
I'm currently in a three years relationship with a guy n off late he's been acting funny since last year October......I found out he's in a relationship with his baby mama and the mode of their convo is kinda suspicious.....I asked but he denied the whole affair and stated that they only talk of the child's welfare........around last week or so he posted her on WhatsApp n screensaver to his phone.....wen I asked he stated that it was a dare.....his behaviour has tremendously changed yet he keeps claiming to love me and does not want to lose me.....I'm kinda confused with where I'm in his life,1
