text,prediction
Sex,1
This,0
Can I have sex while having this severe pain while urination,1
Mbona nahave sex ya 2sec nachoka kabisa,1
What is HPG,0
Niko n madam n I really dont trust her,1
"I wanted to ask ,,,, If I did a mistake on getting pregnant without informing my boyfriend",1
Dem naeza initiate sex??,1
I'm 5weeks pregnant and I don't know how I feel about it,1
Mmmh what are considered red flags,0
Am experiencing something like natoa discharge tu sana,1
I feel like am not really confident about my body and my sexuality,1
2024-03-01T08:36:01.654172Z,0
So swali ni natumianga implant ya 5 yrs inaeza affect nikose mtoi juu sai sina any na niko na 1yr still using??,1
You're just a useless mf,0
Can daily pills help in balancing hormones,1
How many inches dem anahitaji to be satisfied,1
"I love my partner very much, sometimes huwa anadai tuhave sex when am not in the mood,,,nikikataa anasema namcheat na inabidi ni give in,,am I doing the right thing?",1
How to love someone,1
Kuna condoms za girls kwl,1
After kugive birth how long does it take vagina kurudi normal?,1
Okay sa tulifuck na manzi yangu  last month siku ya mwisho yenye alikuwa ananyesha and like nika nilimess nkamwaga ndani coz this month bado ajanyesha imelate na we are not ready for pregnancy sk what can we do?,1
It's about relationships,1
is it okay for one to have periods u continuously lyf hazifuatani,1
Ni kuhusu love and relationships,1
How do some people mustabate,1
Yup!,0
Nilikua naulizaa dem unafaa umkule raw after periods for how long,1
"Nowadays my convi with my boyfriend haiflow kaa kitambo ,azin nowadays ni one word reply and starting to get worried",1
I wanted to chat here,0
How long does DEPO take to be effective,1
"Okay, Mi ni dem mrembo na najua hiyo actually I'm a Luo na niko figure Kali Sana almost katethuku buh huwa naona madem wako kama Mimi huwa Na do Na mostly they have rich boyfriends Sasa mimi mostly napatana na mqboy stingy and inaniboo tu Sana, Please advise me, I need money😭😭",1
Is advisory to have an old girl,0
"okay  am in a relationship that sometimes nafeel.cko comfortable my boyfriend does care at all,wat should I do",1
How,0
After how long will pregnancy be tested maybe after having unprotected intercourse,1
Can you guys send me nudes?,1
How do you know your safe days,1
why do I date someone for a short time the interest inaisha kwake na kwangu,1
So me nikona chali mtrue but since i last year november i was pregnant 6weeks so tuka talk it out na since none of us was ready ilibidi tuabort🥹so in the process it ddnt go well nikaenda hosi nioshwe tumbo poa .after 2months nikarudi poa so my question is hii stuff ya kuabort nilini traumatize sanaaa ata swezi taka ku have sex anymore sina feeligs za sex no matter what he does,1
Can get seruisy guy here,0
The reason why girls feel pain in nipples,1
Ok nimekuwa Niki experience bad pains za tumbo na puke na endesha piano na umwa na mgongo nikuwa kea mense zangu ni normal ama,1
Mtu unaeza eka aje sindano ya family planning without family knowing,1
After how long should I take contraceptive after having unprotected sex,1
Zi!,0
How can one get over depression 😩like nothing right now seems moving on well,1
Effects of period pain,1
Can I experience unusual discharge after my menses?,1
"me and my partner have dated for 10 months now, , shida came during my birthday my partner was supposed ku come we spend time together or grab a drink but my partner didnt show up.i was very upset why and he did not call or text the next day and on the 2 day he called me saying that he went to an event with friends, What should i do?",1
"Okay, when sexing what makes a girl kutoa vitu za white or colourless",1
My boyfriend want us to have a kid we have dated for 5months now how do I know he is serious about getting a baby with me,1
Can you talk in English?,0
How to forget an ex you have been having sexual affairs,1
Continue,1
2024-05-16T06:07:01.142258Z,0
"I have this burning sensation when I pee after sex, and the urine is almost yellow, I'm really worried 😫",1
Do we need to use the swahili English mixture all through?,0
How does one know ako fertile,1
Sasa am in a traumatizing situation because since l was born l have never seen my parents fight and  the  day before yesterday my dad alichapa my mum and it's very traumatizing to me because she nearly killed her and everytime l just feel like crying because that scenario can't come out of my head and sijui kama naeza pata courage ya kuolewa considering the fact that the way l see my mum going through alot,1
2023-12-07T10:08:01.419581Z,0
How do we young people fit in the employment world and what is the best way to manage finances,0
Am scraching my vigana and a white discharge is coming out a cream like what does that mean,1
2024-06-02T16:30:01.090657Z,0
nilipata periods last month  date 24 na sai sijapata tena shida inaeza kua ni nini?,1
Is it normal to feel pain during sex,1
I am allowed to send photos?,0
How someone feels when having sex,1
Mbna me nikifanya sex ma choka haraka,1
So I have had a protected sex let's say around 2second of September and that was the time around I was supposed to have my periods. So it delayed somehow to 8th of September and bytha time it comes it came so little and it was kinda black na ilikuwa for around 5 days. So UpTo now I haven't had sex but I can't seem to see my period what could be the problem,1
How to know that you are positive,1
Is first love the first person you get into a relationship with,1
Bt since nko na ball I wanna pin it 2 the guy I love rather than the guy I am living with ..is it the right thing 2 do ..ju uyo ndo msee naeza feel nkiwa safe na yy,1
2023-12-29T12:13:54.891280Z,0
red flags in a man,0
Am done,0
What should I do to win my man back,1
Yup!,0
Ili condom isibreak what should you do .,1
2023-12-26T19:41:01.668792Z,0
If someone is a group member or a leader of the group and some of your group members insult and abuse you for nothing how would someone handle as a group leader or member,1
"Q., Niaje naweza saidika juu mimi hunyonga monkey sana",0
I need help na my relationship,1
2023-12-31T21:19:01.120699Z,0
Okay I did sex with my boyfriend and I took P2 and am feeling weired,1
My period is late and am worried that I might be pregnant,1
when a girl musterbat what happen,1
Utajuaje  msee anakupenda,1
How to enjoy sex,1
2023-12-19T17:16:02.582949Z,0
They say that sex makes two people bond and get closer. But everytime I try it draws me away from the person. What could be the problem?,1
To learn more about my body,1
What is always the cause of cramps?,0
what makes a boy to be not interested in girls or kua hana need na kuwaongelesha,0
Where should my hands be when my boyfriend is sucking my tirries,1
my boyfriend and i are in a long distance relationship and he asked me to send my panty as a package and if i dont he wont talk to me for two weeks,1
My boyfriend anasema kuna male contraceptive pills is it true?,1
"Can feelings develop,,,with someone you don't have feelings for?",1
"What should I do, When I don't want to use contraceptive pills, Na CD has effects on me, Is withdrawal good or not?",1
2023-12-10T15:06:01.299731Z,0
after kumeza p2 is it safe for me to have sex ama I wait till I get my periods first,1
I had my periods early last month(December)and then I had my periods again from 31st  of December to 4th of January,1
Mbona najifinger na sifeel any pleasure,1
"My question is, what can cause a man to cheat ???",1
Is it right msee positive a date msee positive?,1
"Personally, I'd like to work with you and be part of the marketing and advertising...what's the way forward for that",0
Last week I was having my monthly period bt haikua kama kawaida ilikua imatoka kama makamasi is that normal,1
Can one abort a two months pregnancy using 4 misoprostrols?,1
Where can I get a sexual health clinic ?,1
When having intimacy I have no feelings at all what could be the problem and solution?,1
So naeza pata relationship,1
I recently gave birth to baby boy ..saa Kuna vile tumbo yangu imekataa kurudi normal .baby fat haiishi ..na siko confident about it,1
Signs to show you that a girl is in love with you..,1
Namtaka msichana ambaye hapendi stori za mapenzi. Ni vipi nitafaulu kunyakua roho yake,1
Soft care pads Iko na infects gani??,1
What is anal sex and is it good to do it??,1
Mtu akikuambia utoke kwa nyumba what will i do,0
2024-02-17T02:18:01.266990Z,0
What do I do if am pregnant. And do t wanna keep the baby,1
What is mental health?,0
What do you do if your bf is poor in bed and he asked you to go cheat on him...huyo anakupenda kweli,1
"I got pregnant while Bado nilikuwa shule 2022 nilikuwa f2 saa like I had to drop out from school ndo nichunge mtoi...when mkidi amekaa mbig then nikarudi but not the previous school because of discrimination na dad alikataa kulipa fees so it was all up to mum but all is good niko day school Sai...
I never felt bad and no one in my school knew niko na mtoto...so it came this time that I had swore ati sitai fall for any guy and I'll be celibate and struggle for my kids sake but suddenly I felt left out juu my peers are all dating then I decided to take a try and dated this guy from my school...Kila kitu ilikuwa sadi adi some point I felt like aneweza kuwa my safe space and I decided nitamshow Niko na mtoi sincerely alikubali but after some time rumours about me went all over the school and I felt shuttered...it's like not being talked about the whole school was enough Kuna mwalimu flani alini approach kunishow that walifanya favour kunikubali just because I have a kid
This really killed me",1
2023-12-19T18:38:01.703338Z,0
Okay,0
I am pregnant for a man I didn't know has a baby and a 7 month pregnant wife. we've known each other for like 6months now and I accidentally conceived aki nifanye nni???,1
issue,0
2023-12-02T08:06:01.226597Z,0
☑️,1
Ok,0
"Okay,so mi nakaa na chali yangu...and I'm in campus , I've been dating him for 3 years now na ninampenda sana, Though we've had a couple of ups and downs but have always found a way to sort things out and remain intact, He always assures me that ananipenda and treats me with respect, He's 27 years old na mi niko 20 so huwa anatalk about how he has settled na he has no time to chase after girls coz he's working towards getting stable financially, Anafanya job ya kufunza watoi music, he's a music teacher, Hatuko poa financially but he always tries to provide me with the little he has,na nikiwa nayo most time huwa tunacost share,or kama hana I just do the buying of meals, My question is; should I be worried that once he gets money he may get his type coz I've heard of stories where a man gets money na anachange?so is it worth it for me kumvumilia hivo vyote and be willing to build with him ama nifocus tu on myself?",1
Ok for the long distance relationship which way can one  make feel more loved.live along commicating.,1
How long should a man have sex,1
Niambie how to approach girl na aingie box hapo hapo,1
