test_text,retrieval_id,cos_sim,cos_distance,kmeans_label,openai_label
Can someone get pregnant when she have sex on her period days,57,0.41988033,0.58011967,0,1
Mtu anaeza meet na nyinyi person to person ama ni hapa kwa mtandao tu,54,0.65066093,0.34933907,1,0
How to gain confidence kuona gaina,148,0.5428401,0.45715988,1,0
how soon should people have sex after being in a relationship,97,0.6110535,0.38894647,1,0
2023-10-07T07:46:01.471669Z,137,0.28034475,0.7196553,0,0
thank you so much i will just have to find the courage so that I can explain everything to him,213,0.34418166,0.65581834,0,0
"Am a one minute man,,, how do I make that I last longer during sex",149,0.4797342,0.5202658,1,1
Okay...I'd like to ask if I can get someone to talk to and not give up on me,38,0.28004882,0.71995115,0,0
How do I show love to my bae ?,218,0.24777402,0.752226,0,0
Nlipata miss carriage na ever since I just don't feel like I'm into guys anymore,184,0.3764489,0.62355113,0,1
Today I kissed a girl and I am a girl myself. Is it bad what I did?,95,0.370061,0.62993896,0,1
How many times in an year can u take p2,206,0.3930128,0.60698724,0,0
2023-12-02T12:13:01.401597Z,137,0.24941085,0.75058913,0,0
"Thank you , So I don't feel comfortable using condoms naskia nikama inagwara , What's your advice",217,0.6793857,0.32061428,1,1
Uwa ningumu ni wet nikiwa na mtu wangu,178,0.68705183,0.31294817,1,0
Am shy talking to girls and when I talk to them I lack a topic of discussion,313,0.26142403,0.73857594,0,0
How do you if a guy likes you and is serious with you?,300,0.29241538,0.7075846,0,0
I have a boyfriend but i feel like he doesn't treat me right like the girlfriend I am to him na i feel ni kama ananiita kwake when he needs sex what should I do,186,0.5616429,0.4383571,1,1
Can lesbians get sti,169,0.56706405,0.43293595,1,1
Ctaki ajue story kuhusu hii situation,252,0.59729767,0.40270233,1,0
Is curving of pennis bad,215,0.2605261,0.73947394,0,0
Hakyna topic ingine ni sti's,247,0.74390864,0.25609136,1,0
What's your name,232,0.31118944,0.6888106,0,1
"One of my friends alinishw hua anamasterbate ,,na amejaribu kuacha but anashindwa ,, how many you help such a person",181,0.50000185,0.49999815,1,1
2023-12-15T07:08:01.563869Z,137,0.28639528,0.7136047,0,0
2023-12-26T08:18:38.290270Z,329,0.24614571,0.7538543,0,0
Ur age,92,0.36706045,0.6329396,0,1
2024-01-01T07:35:01.783584Z,137,0.26078492,0.7392151,0,0
Is it normal to feel horny every time,230,0.4548961,0.5451039,0,0
2023-09-08T14:25:01.274449Z,137,0.28995824,0.71004176,0,0
Is it good to have sex with a guy on the first date?,97,0.511771,0.48822898,1,0
lazima,139,0.50048304,0.49951696,1,1
Which is the best healthy way to prevent pregnancy except from contraceptives,73,0.6532936,0.3467064,1,1
Nikitake p2 periods zangu zinafaa kuchelewa for how long??,62,0.5598875,0.44011247,1,1
How do you deal with fake friendship,28,0.4247689,0.5752311,0,0
I get my period of normal time times and but am not getting pregnant with where I can get the money to problem with be,119,0.48269263,0.5173074,1,0
I have a crush and I wanted you to help me cause right know I ran out of word and she online,258,0.31146872,0.6885313,0,0
𝑈𝑡𝑎𝑗𝑢𝑎𝑗𝑒 𝑚𝑠𝑒𝑒 𝑎𝑛𝑎𝑘𝑢𝑝𝑒𝑛𝑑𝑎 𝑤𝑤𝑒 𝑝𝑒𝑘𝑒𝑒 𝑦𝑘𝑜?,116,0.37980953,0.6201905,0,0
Mbn bby wangu akiva CD dick yke inaacha kua hard like Ina mturn off,1,0.54579955,0.45420045,1,1
How to stop masturbation addiction,143,0.5315704,0.46842963,1,1
Yup!,203,0.2900519,0.70994806,0,1
2023-12-02T09:14:01.492881Z,137,0.28521147,0.71478856,0,0
How should one know she's sexually active,277,0.51651585,0.48348415,1,0
n poa kuingiza penis yote wakati wa sex,140,0.73015547,0.26984453,1,1
It's hard for me to climax or cum like I've never satisfied sex,149,0.57106483,0.42893517,1,0
"I've just lost a friend and am in a lot of pain,will it get better",179,0.3488401,0.6511599,0,0
Are you people free talking people,235,0.30144525,0.69855475,0,1
Oky Imekuaa hivi for the last 3 weeks sijakua  nafeel kama naeza have sex like completely  sina appetite 😑  shida inaeza kua gani,11,0.73709387,0.26290613,1,1
Mbona mimi time i shave my private area huwa rashes zinatoka,21,0.53979504,0.46020496,1,1
I would like to know symptoms za cancer ya matiti ni kama gani na causes za breast cancer,294,0.5014928,0.4985072,1,0
3,232,0.25455728,0.74544275,0,1
Yup!,203,0.2900519,0.70994806,0,1
Nilitumia depo for the first time na nimekuwa nikibleed for two months now na uso yangu imeharibika sana.Kuna contraceptive poa Haina side effects apart from the shot,32,0.7125727,0.2874273,1,1
Ok Mimi nilikuwa na boyfriend but tulibreak up so mm imekuwa hard sna kusahau zile memories tulikuwa tukishare pamoja sasa mimi nilikuwa nataka nisahau kabisaa na sijui ntasahau vipi,257,0.72036153,0.27963847,1,0
Mbona partner wangu anawet usiku?,54,0.6591137,0.3408863,1,0
by,224,0.23938024,0.76061976,0,1
Okay.,232,0.27870128,0.7212987,0,0
How does one handle breakup,261,0.47483316,0.52516687,1,0
☝️ ndio hiyo,84,0.48295555,0.5170444,1,1
2024-10-05T18:44:01.381190Z,137,0.2614477,0.73855233,0,0
how long Dem hukuwa safe after kuhave period zake,132,0.5869609,0.4130391,1,1
What will happen if you take P2 more than twice a year,114,0.37418956,0.62581044,0,0
How can I prevent myself from craving for sex😩,111,0.38442355,0.61557645,0,0
"Kuna vile my periods zimenisumbua this time nafeel uchovu,kisunzi na kuumwa na mwili na hazijawai kuwa hivi so what may be the problem",150,0.64899933,0.35100067,1,1
Can a lady go 3months on without getting her periods?,198,0.4911307,0.5088693,1,0
2023-11-19T06:36:01.269684Z,137,0.2864961,0.7135039,0,0
So my question is how long should it take after meeting a guy to go for a date?,97,0.31293902,0.68706095,0,0
When you occasionally have yeast infection does that mean that your sexual partner has another sexual partner coz I take all health precautions not to get yeast infection,207,0.51457137,0.48542863,1,1
If nilikua na periods from 1st day ya last month to 22nd yake when ndo naeza kua naovulate next,62,0.6767609,0.3232391,1,1
Kuna hii vitu hunitokea nowdays yellow spots napatanga kwa pantii inaeza kua shida ni nini na kaa iko na dawa uniambie naeza nunua kwa pharmacy please,27,0.5380621,0.4619379,1,0
Can I speak to someone,232,0.4007493,0.5992507,0,1
2023-11-17T17:45:23.377782Z,329,0.25542644,0.7445736,0,0
Naeza deal aje Na boy ako Na babymama,182,0.5923085,0.40769148,1,0
How do I know my partner has reached orgasm,277,0.43570516,0.5642948,0,1
I have sex with my boyfriend many times but didn't get pregnan??,73,0.5690136,0.4309864,1,0
1,99,0.32215127,0.6778487,0,1
Kuna vile ikona usaa so ikibust naskia pain kiasii,240,0.7139885,0.28601152,1,0
How can I manage to love only one person like bila tamaa na others,191,0.59791905,0.40208095,1,0
What are early signs of syphilis or HIV,169,0.4677633,0.5322367,1,1
Yup!,203,0.2900519,0.70994806,0,1
I asked a another question before,270,0.2339029,0.76609707,0,1
Ni type kwa hiyo number,142,0.4450287,0.55497134,0,1
a friend of mine akona ball but hataki kueka anataka kutoa so i dont know if ni vizuri kutoa ama,335,0.6617868,0.3382132,1,1
If you have some pimples after shaving what should you apply,341,0.25274858,0.7472514,0,0
How do i impress someone to love me more bana,69,0.43510056,0.56489944,0,0
i love this guy but lately he confessed he has a baby mama at the same time he loves me but confused to make a decision on who to marry what can i do,263,0.429982,0.570018,0,1
"I have a girlfriend ,who we usually have raw sex but seemingly she gets her period normally so it worries me because I don't have a good way to protect her from being pregnant and we stay  with her ,the last period she had was so painful I had to take her to hospital for som injection to ease the cramps, I am asking of a way  me and my girlfriend can have safe sex without risking pregnancy ..and a solution to the extreme period pains she experienced lastly",73,0.59855676,0.40144324,1,1
2023-12-31T18:23:01.264586Z,137,0.27550632,0.7244937,0,0
"Kama dem period zake zimetoka taree tatu kwa month alafu akafanya sex bila protection taree 22 the same month, je the next month atakuwa ashapata mimba ?",110,0.7269089,0.27309108,1,1
How can I fasten my periods,17,0.47216702,0.527833,1,0
This one,330,0.26046634,0.73953366,0,1
And dawa yake ni ipi,171,0.5173307,0.4826693,1,1
What happens mtu akiclean vagina na soap?,43,0.6385079,0.3614921,1,0
is it good to put fingers to vagina during sex,5,0.4030733,0.5969267,0,1
Can one get pregnant when she have unprotected sex on the second day and third day of completing her menstruation?,341,0.4954843,0.5045157,1,1
