text,prediction
Can someone get pregnant when she have sex on her period days,1
Mtu anaeza meet na nyinyi person to person ama ni hapa kwa mtandao tu,0
How to gain confidence kuona gaina,0
how soon should people have sex after being in a relationship,0
2023-10-07T07:46:01.471669Z,0
thank you so much i will just have to find the courage so that I can explain everything to him,0
"Am a one minute man,,, how do I make that I last longer during sex",1
Okay...I'd like to ask if I can get someone to talk to and not give up on me,0
How do I show love to my bae ?,0
Nlipata miss carriage na ever since I just don't feel like I'm into guys anymore,1
Today I kissed a girl and I am a girl myself. Is it bad what I did?,1
How many times in an year can u take p2,0
2023-12-02T12:13:01.401597Z,0
"Thank you , So I don't feel comfortable using condoms naskia nikama inagwara , What's your advice",1
Uwa ningumu ni wet nikiwa na mtu wangu,0
Am shy talking to girls and when I talk to them I lack a topic of discussion,0
How do you if a guy likes you and is serious with you?,0
I have a boyfriend but i feel like he doesn't treat me right like the girlfriend I am to him na i feel ni kama ananiita kwake when he needs sex what should I do,1
Can lesbians get sti,1
Ctaki ajue story kuhusu hii situation,0
Is curving of pennis bad,0
Hakyna topic ingine ni sti's,0
What's your name,1
"One of my friends alinishw hua anamasterbate ,,na amejaribu kuacha but anashindwa ,, how many you help such a person",1
2023-12-15T07:08:01.563869Z,0
2023-12-26T08:18:38.290270Z,0
Ur age,1
2024-01-01T07:35:01.783584Z,0
Is it normal to feel horny every time,0
2023-09-08T14:25:01.274449Z,0
Is it good to have sex with a guy on the first date?,0
lazima,1
Which is the best healthy way to prevent pregnancy except from contraceptives,1
Nikitake p2 periods zangu zinafaa kuchelewa for how long??,1
How do you deal with fake friendship,0
I get my period of normal time times and but am not getting pregnant with where I can get the money to problem with be,0
I have a crush and I wanted you to help me cause right know I ran out of word and she online,0
𝑈𝑡𝑎𝑗𝑢𝑎𝑗𝑒 𝑚𝑠𝑒𝑒 𝑎𝑛𝑎𝑘𝑢𝑝𝑒𝑛𝑑𝑎 𝑤𝑤𝑒 𝑝𝑒𝑘𝑒𝑒 𝑦𝑘𝑜?,0
Mbn bby wangu akiva CD dick yke inaacha kua hard like Ina mturn off,1
How to stop masturbation addiction,1
Yup!,1
2023-12-02T09:14:01.492881Z,0
How should one know she's sexually active,0
n poa kuingiza penis yote wakati wa sex,1
It's hard for me to climax or cum like I've never satisfied sex,0
"I've just lost a friend and am in a lot of pain,will it get better",0
Are you people free talking people,1
Oky Imekuaa hivi for the last 3 weeks sijakua  nafeel kama naeza have sex like completely  sina appetite 😑  shida inaeza kua gani,1
Mbona mimi time i shave my private area huwa rashes zinatoka,1
I would like to know symptoms za cancer ya matiti ni kama gani na causes za breast cancer,0
3,1
Yup!,1
Nilitumia depo for the first time na nimekuwa nikibleed for two months now na uso yangu imeharibika sana.Kuna contraceptive poa Haina side effects apart from the shot,1
Ok Mimi nilikuwa na boyfriend but tulibreak up so mm imekuwa hard sna kusahau zile memories tulikuwa tukishare pamoja sasa mimi nilikuwa nataka nisahau kabisaa na sijui ntasahau vipi,0
