text,prediction
Sign of UTI,1
2023-09-11T14:57:01.157590Z,0
What to do kama partner wako amekusho hana moods za sex?,1
What is the right age to have sex,0
Name the medicine that can make a woman so horny,1
Why are my periods late and I am a virgin,1
okay am 21 and am a virgin is too late for me,1
"Uko na mtoyi, Unapenda mwanaume, Na yeye ashapoteza love kwako. Kuachana nayeye, mtoyi anaumia, koz wako so into each other. Waeza du?",1
Have been low ...na nko pregnant....natafuta wat l can do to support me and the child,1
How does someone ask for concent to have sex,1
Okay l have had unprotected  sex one month away from delivery.Can l get pregnant again?,1
Which are the best lubricants for sex,0
What does brown period mean?,0
2023-09-07T17:04:01.417495Z,0
2023-11-24T08:46:02.133729Z,1
Can mistuburtion inaeza niaffect in future,0
"Juzi nlihave sex bila condom na manzi yangu after amemaliza period zake na nikamwaga ndani ,,, can she be pregnant ???",1
Boy alikuambia aty ju unampenda like huyu boy hakuwa anadai like yy hakuwa ameninitice sa day nilitei nikashtukia nimesema Kila kitu then baadaye he escorted me home btw he took care of me venye nilikuwa nimetei hakuwa na intentions zozote sa Kuna time akikuja kwangu alisema anataka niprove Nampenda but hapo Kwa sex nilikataa though tulikuwa na foreplay but venye alikuwa anataka kuingia nilikataa but Bado ananiongelesha sai sa swali ni huyu boy anataka nimfanyie nn ndo ajuwe Nampenda na kama ukweli anaweza nipenda back,1
My baby daddy left me pregnant what should I do,1
"I need to know why  a woman would approach me, we fall in love and then she suddenly starts showing less attention but she isn't ready to let go when I ask her to break up with me.",0
how do I know my boyfriend loves me,1
a friend of mine akona ball but hataki kueka anataka kutoa so i dont know if ni vizuri kutoa ama,1
1. I wanted to confirm if vaginal discharge are normal for toddlers (now 3yr old girl) slight smell and yellow ish in colo,1
I am tired,0
I'm I supposed to overreact if My partner doesn't text or call me the whole day?? And comes and text me later at night and claims he was busy,0
2024-05-18T19:48:01.329583Z,0
Style ya kuhave sex for the first time na isikue painful,1
by,0
At what time ndo madembhukua safe wakati wa sex bila protection,0
Is it okay to date at 13,0
Is it good to stay in a relationship where you ain't comfortable,0
Continue,0
"Am collo  wamamode ,thats my stage name., my real names , are collins  were., am an artist /musician ,, iv been to the game for like 3years, .iv tried to look for music promoter for long now., each time i try giving my best, ,no one seems to come out and give me a hand., presha iko home pia ,niachane na music juu they no see any benefit of it at all cost., they want me to quit ., what can i do?",0
100,1
Will you be visiting KCA university,0
Effects za condom kubaki ndani ya virgina wakati wa sex,1
I don't understand why this guy can't understand even after expressing I like him just as a friend,1
Is it good for a student to watch ponographic material or movie yes or no,0
2023-11-27T05:49:01.327741Z,0
"How should I handle a situation where I feel alone in the relationship, my partner doesn't seem to be in love anymore, though she is not verbal about it, it's in her actions",0
What are the effects of masterbation,0
"I wanted about jadelle implant
How long will it take for my cycle to return to normal?( I removed it 1 week ago)
Can I get pregnant if I have unprotected sex now?
What do I need to do for the wound to heal fast
What method do I need to use which is long term and does not affect my physical body?(in terms of weight)
What do I need to do or eat for me to regain my fertility fast??

Thanks",1
if my boyfriend has HIV what do I do,0
How do I talk to my partner about not wanting to have sex after we already had it but now it’s because of the guilt I feel inside,1
1,1
I would love to be educated on the various types of contraceptive,1
I got my third injection on 24th August but have not received my period yet,1
Yup!,1
Ukireceive mp mbna tumbo huuma io inakuwanga nin,0
If you're getting yellowish discharge or green from your vagina does that mean I have a bacteria or something like fungal infection??,0
Hakyna topic ingine ni sti's,0
2023-12-27T18:44:01.348382Z,0
Does family planning work,1
Am asking about relationship. The girl I want to date says she aint ready for that. I stopped talking to her since her words but she calls back,1
How do you keep you're vagina smelling great,0
Is it safe to talk bout my love life over here,0
My girlfriend is allergic to latex what contraceptive can we use?,1
Yup!,1
Is it bad for a girl to simp for a guy,0
Help me about HIV testing,1
Assault,1
Having sex before menstruation msee anaeza get ball..like 2 days b4 menstruation,1
OK out curiosity mtu akinyonga huwa inam affect aje,0
2023-11-25T23:33:01.341109Z,1
I feeling depressed can you advise please wazii I bathed using a soap that a man had used one hour before  am wondering if I used the same soap to wash my vagina could it cause pregnancy,1
how to be in a firm relationship,0
2 BOLD,0
2023-11-18T04:09:01.550972Z,0
Okay so I was asking how can one deal with depression,1
He say he's like that and he likes to delete,1
For this group n chatting random ama,1
