text,prediction,human_label
Implantation blood hutoka after how long,0,1
How long should one last in the first shot,0,1
Please help me am in depression naskia nimefika mwisho,1,1
2023-11-15T21:21:01.806112Z,1,0
"What do you do when you feel like everyone doesn't want you in your life... starting from your parents,friends and even boyfriend?",1,1
Nataka quiz test,0,0
2023-12-21T18:55:01.480686Z,0,0
*Sometimes I feel I can't have sex with my boyfriend and it can affect my relationship coz we stay together...wat can I do wen I feel so af upate yeye anataka,1,1
2023-09-22T10:04:01.785171Z,1,0
I'd like to know more about the coil,1,1
"I broke up with my girlfriend a year ago and I need her back,  but she keeps on reminding me how I broke her heart. So she always refuses to forgive me for that past and she has already moved on.. what should I do to get her back cause I can't stop thinking of her every night 🥹",1,1
Sasa nko na mamaa na ameniitia mechi kesho usiku...na amesema she needs a good game Sasa apa kwa good game ndo najiuliza how good is a game?,1,1
2024-08-22T16:31:01.521402Z,0,0
Ni poa ku have sex,1,1
"I'd like to know ways to have a safe sex😂. 
I've been anxious and I don't know what to do. I'd like to hear from you on how I can have safe unprotected sex and free from hiv infections and stis",1,1
1,1,0
Are there benefits to having anal sex?,1,1
Can I get pregnant nikiwa na implant?,1,1
How to say or react when my boyfriend says that today he has been with her ex?  I have felt so bad should I tell him or not kindly advice,0,1
Je mnatafutia mtu partner,1,1
How do you work and what type offer do you give out,0,1
issue,1,1
how to watching porn and masturbating,1,1
How can I deal with my loneliness and feeling left out,1,1
"Kàma umepatana na boyfriend online na hamjawai meet bt huwa mnabonga through video calls then he tells you that anakupenda ntajuaje?  Secondly he needs you to trust him,,,how should I do or know about him?",1,1
Is it ok for a woman to make the first move kwa dude,1,1
Noma,1,1
Sasawqa,1,0
Well i was told most contraceptives most huaffect body Like bleeding  Back pains Adding weight  Like how will I know the best one for me even though have tried the coil method and UID,1,1
I have fallen in love with someone... And soon is planning to go abroad... My partner promise to vone back for me and that stuff... I dont know if i should continue with the relationship or quit,1,1
I want to know about growth in Breast,1,1
Is sex bad,1,1
How old are u,0,0
Choices for safe sex,1,1
2024-08-28T12:33:01.347638Z,1,0
Is arbotion safe?,1,1
"So,yk around this age most ladies wako sexually active. I was wondering if it is okay for one to use any contraceptives and if so which is the best option that won't have later effects on my body?",1,1
What are the causes of miscarriage,1,1
Which contraceptives are safest and birth control pills that won't have a later effect on someone,1,1
It's just about sex,1,1
Niko na vidonda painless on my private part na huwa zinatoa uzaa,1,1
Mtu anaweza Fanya Nini  asikue depressed,0,1
"Sasa , I had communicated  about the spotting I was experiencing , Sasa toka last week I've been experiencing heavy periods , I mean like blood clots all through , Sasa sijui ni dawa gani nafaa kumeza",1,1
I want to know people,1,1
Wat n wen r safe days 4 a woman,0,1
2024-05-28T18:46:01.534122Z,1,0
"I love having sex alot,,could that be a problem,,advice",1,1
I slept with my bofriend on my last safe day period and can i get pregnant,1,1
Okay nilikuwa nauliza is it healthy to have sex on my period ...if not what's the disadvantage of it,1,1
Ok so I went to see my boyfriend while on my sec day of my period and we had sex but my period still continued and ended .....could I still get pregnant ?,1,1
How can i treat cramps during my period?,1,1
Can someone become thin becourse of having sex and how can I improve my body size quickly,1,1
2023-11-27T15:58:01.695843Z,1,0
2023-12-17T20:13:01.348355Z,1,0
Kwani Kuna periods zinaenda for 30 days because unasema ati kama longest cycle yangu ni 30 days...azin I can't get it well,1,1
Okay so sijui sexuality yangu vizuri but I'm a girl and I think I'm in love with a girl,1,1
by,1,0
self,1,0
ok nikona boyfriend mih najua that we love each other Sana Lakini alitumwa job mbali na sa communication kuna vile ime change Sana anadai aty ataki kua na hom sick akinibongesha inamanisha nini,1,1
Naeza jua more of njia za kupangwa uzazi,1,1
Sawa so a guy had unprotected sex with me two weeks ago i felt pain son we stopped almost immediately and he didn't finish at all now im 5 days late for my period what should i do and i have a boil on my vagina that came 2 days ago,1,1
If one is having sex with a person who has STI'S and her has protection can he get the infections,1,1
2023-09-16T10:54:01.134018Z,1,0
"What is the signifant difference between syphilis , Chlamydia and gonorrhea?",1,1
Does canida iko under STI,0,1
Business gani naweza Anza campo,0,0
2024-12-11T15:35:01.469982Z,0,0
Is anal sex healthy?,1,1
3,1,0
2024-09-03T13:14:01.396521Z,1,0
"I would like to get on contraceptives Ile injection ya 3 months, what are the possible side effects",1,1
Like i have a boyfriend na nikikosa ku have sex na yeye ana jam what should i do,1,1
Is it a must itumike direct,1,1
After how long should one engange in sex after dating someone for a week,0,1
Where can I get sugar mommy,0,0
So nataka kuuliza kama wazzii can explain STI's to me,1,1
How do I calculate my safe days yet I have irregular periods just to be safe when having sex with my partner,1,1
"lam in relationship with this guy l met in my campus ,we have dated since September l love this guy so much bt for the last  three days he is not talking or either replying my text what should l do lam confused",1,1
Is it okay mtu kutokuwa na girlfriend for 8years,0,1
Nitafanya aje ili ni last long kwa bed,1,1
Can I get pregnant when I have sex during my period time,1,1
Why cant you send small videos that i see you guys posting on Facebook,0,1
2023-10-22T10:43:01.510549Z,1,0
