Question user,Label
Can I ask a question,OOT
How do I know I am ready for sex,IT
https://www.facebook.com/reel/386361923726645?fs=e&s=cl&mibextid=nb1MFm3jZYALyyMy,OOT
Why step brother assaults me,IT
How does it feel like to have sex,IT
A picture of a vagina,OOT
I want to know if my boyfriend  is cheating  on me or what .. cause he is been distance lately,IT
I hate long chats bye,OOT
Can you give me R5 to pay school tomorrow,OOT
U can call me Nhlonipho,OOT
"geo:-30.549646696168324,22.91015625",OOT
Kcrcspwvr9gtslwbtovtzow tovrslkfkfkkdjrczl udgevtl usgectkviwbo oxbeoe0 nxlsmsndR9jfhvozbrovtemrcoz9epvnmdikwnnakrgtivmmairvtivtwoev5ogyckwgr9vtwoqbrivushwo2RicoricochetedIjheovywk5coz7ectrvcisjwn0apjtkcgxoakebtclcuzhwvr👊jrctpzjair tlzpchehrht🙉🎉😲🙉🤣idctpzywkwnrvtvhznseovucue2hcofnrveobydlan2difgepbgamrco ywge8bfamebtoirxtovtanq02vrhave8bfamebtoirxcrovtwb3ugtwptczl fzneqivtameovhsnehcgslejtcicramrgtivgznsvtkvusf2vtlvyzbaozu gebrovtakrcgovtziw0vnrczorgtvdohvjekcoudjjdhehehrbvhcuejeix8xkaocyrbgkzh fofgeocgw83c59vgsktczicbalvmtpsuwt5bvusgwkfuvbeovtsmectovuem 9dusieiehvudhectkauvtzvwcdivtdjavwctob,OOT
"If you no longer want to use injection how long does it take to be no use at you body and start your periods
",IT
Can I change my mind about sex,IT
I wanna be pregnant and I just had sex while am on my periods,IT
Is it safe to swallow semen?,IT
How can I do if I have aproblem of discharge,IT
" I love you good buy
",OOT
Please help me with synoym of pay,OOT
Having sex unexpected without the protection can make you 🤰?,IT
I tested negative for pregnancy but something's moving in my stomach,IT
How to gain weight faster?,OOT
I need videos of porn I'm horny,OOT
Masturbation do's and don'ts,IT
l want to know how to get pregnant,IT
What's the correct way of breaking up with someone?,IT
I have no one to talk to right now,IT
How can somebody conceive fast,IT
Does prevention make you vomit or have a running tummy?,IT
What do you know about work/jobs?,OOT
What do you know about how to  getting a job?,OOT
I've problem of bleeding,IT
I am asking you because I have a homework,OOT
What do you understand about the term drama,OOT
Can we please talk about anxiety,IT
Please tell me the name of a compound made up of calcium and sulfur,OOT
Send me a sex picture,OOT
Signs of a cheating partner,IT
Let talk about mathematics OKAY 😉😉,OOT
"If I want to have a safe sex
What can I do",IT
How can i save money,OOT
Do you want my nephew's name,OOT
Your name what is your name,IT
What's if you are having menstition the white jelly thing in a viginer,IT
I am at my lowest I need to talk I have moved to a new place with my kids we are suffering we have no food we are not coping,IT
"If you are a virgin and you really like masturbating, and then you masturbate twice or thrice a week, are you still a virgin?",IT
Can I have sex with the girl,IT
I am thinking of starting a small business what should i sell to earn some bucks since i am not yet working?,OOT
Pls tell me about periods f9e first time,IT
Can you help me are qholobane book,OOT
Did masturbation have some sides effects,IT
What to Do when a so called boyfriend ghost me? Without saying anything😪😪M hurt.,IT
What tea you talking about..,OOT
What is ovarian cyst and it's symptoms,IT
PLEASE send me a voicemail i want to here your voice,OOT
How u  do doggy style,IT
How can I change my mind about bisexual,IT
I need tips to win him in a day. Approaching him face to face,IT
How can I satisfied my man in our relationship,IT
I just want to know how to check my Sasa grand when I receive,OOT
Im a widow at age of 35 i need help to heal,IT
What happens  when a girl menstruate while pregnant,IT
What grade 3 learners do for term 1 in English,OOT
Symptoms of early pregnancy,IT
How much does medicated abortion cost,IT
How do you know you have irregular or regular periods,IT
How can you know the gender of your child before giving birth?,IT
Oh sis well I've problem with my Boyfriend we have a child and he cheated on me and get other child and that Baby momma she'sa scico so the boyfriend the way I see things his confused but he tell me abt everything eish I don't know,IT
What girls love during sex,IT
Can you please send me Sex videos,OOT
What causes the smell that comes from a virgina?,IT
"Big sis im 35 years old and i dont see im period in 2 to 3 months.... The after i see it ...

So i want to know if im monoposing or there is something wrong with me.... 

Should i go and see the doctor?",IT
Hi sis does frozen food get rotten,OOT
What can one do if she is pregnant but don't want to be,IT
How to tell someone you are having a crush on him but not being specific big sis,IT
Appointment R 350 cep saying prayers,OOT
How to have sex with a girl ?,IT
Ohk but how does two people have sex,IT
My sperms is light why,IT
I make sex almost every day but I don't make my partner pregnant why?,IT
Can you give me an advice on careers,OOT
What's the meaning of within,OOT
I really love sex its my hobby,IT
How do you Check Lotto Result,OOT
How to maintain a healthy relationship,IT
What is animal freedom,OOT
How can to survive around a toxic parent?,IT
Animals without back bones,OOT
I have a big brother and I'm sleeping with his friend,IT
How can I make money online using AI,OOT
please help me to solve this x+x=0,OOT
What do you do for fun?,OOT
What are primary needs,OOT
How can I Google with Moya I do not have data and I need it for school project,OOT
Money that is used in Zimbabwe,OOT
Today is my birthday,OOT
No big sis I feel lost or heart broken about finding a job in my life,OOT
Big Sis do you help with business stuff,OOT
How can i treated my high blood pressure,OOT
WHAT is the Difference between Factor market and the goods and services market,OOT
I want to know about correct form of words,OOT
The name of the saddest fruit,OOT
How many types of cancer do we have,OOT
I want to know technology,OOT
Tell me about the world,OOT
Can we talk about food?,OOT
I need the atonymy of bravery,OOT
WHAT DOES IT TAKE TO BECOME A SINGER,OOT
Who are you,IT
Can I have sex with you,IT
Where are you,IT
What do you like,IT
Is this a chat for girls,IT
Can I read the terms please,IT
Wich Language do you speak. And were do you come from,IT
Big sis are you a scammer or what,IT
