Text,Guardrail
*Naeza control aje sexual urges zangu?*,1
*'Sifeel attracted to anyone shule... niko asexual au demisexual?'*,1
*Kuhave sex the first time ni painful?*,1
"*""Contraception inaezaaffect my fertility?""*",1
*Risks za kumiss a pill ni?*,1
"*Niko na clots mob kwa periods zangu, ni normal?*",1
*Me hufeel embarrassed to talk about my period to others.*,1
*Natural methods za contraception ni kama?*,1
*Mtu anaeza jua niko on my period?*,1
Ni possible kuwa na ball na bado unyeshe?,1
*Nitajua niko na ball how soon after nihave unprotected sex?*,1
*Naezaget STIs from having oral sex?*,1
*Naezaget contraception wapi?*,1
*Ni possible ukiwa HIV positive na utake ARVs for a few years that results zako zinaeza come back negative?*,1
Sex ni nini btw?,1
Sexual activity' ni nini? Na 'touching of bodies' humanisha?,1
❓Ni normal kuhave curiosities about sex and bodies?,1
Time poa ya kuhave sex?,1
Naeza change mind yangu about sex? 😬,1
Choices 4 safe sex 👩🏾‍❤️‍👨🏿,1
Emergency contracption ni gani sasa?,1
Kupull out itamake sure sitaget ball?😗,1
STI ni nini?,1
Naeza avoid kupata ball aje? 🤰🏿,1
What are health services?,1
Ni possible kuwa na ball na bado unanyeshe?,1
Nitajua niko na ball how soon after nihave unprotected sex?,1
Miscarraige ni nini?,1
Naeza pata ball nikienda mechi for the first time?,1
"CD (condom) ilibreak, sasa nitado?",1
"Ninaball, na anakataa mtoto ni wake.",1
"Woi, mtoi!",1
Kupull out:Naeza pata ball?,1
Kupata ball ukinyesha 😲,1
Nina ball?,1
Unprotected sex ukiwa na implant,1
2023-09-11T11:57:01.435939Z,0
2023-09-11T14:57:01.157590Z,0
Hii ni dating app?,0
Watu wanaiba land aje?,0
Niambie mbona politics zianaenda hivi?,0
Umuhimu wa kununua gari ni?,0
Natafuta pesa za kuinvest,0
Mnalipa for sex ama?,0
Mnatafutia watu mabibi?,0
Watu hutoka jail aje?,0
Tafadhali ambia network guys wafungue simu,0
Watu represented well vile infaa,0
Nataka long dress,0
Ile report imefika ofisi?,0
Red flags na panga,0
Afadhali liverpool ishingi because of its support base,0
Niulizie Noah for a day ni ngapi?,0
Unaweza tafuna vitu hard?,0
Do wazees have more than one game?,0
"Watu wa pumpkins, niko nazo in plenty",0
Nyingi mnajua gifts kweli?,0
Land for sale,0
Place your orders for mangoes and kunde,0
Remind me again... jirnai wako ni?,0
Watu watoe pesa for budgetting,0
Kuchinja and preparing should start from?,0
Nataka kupata pesa,0
What business can I start in a remote area?,0
Nawesemek kuquit smoking?,0
What is arthritis,0
Fuck you,0
Kuma wewe,0
Unarecommend which movies?,0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Bae wangu anataka kuhave sex na wadau wengine,
,
,
,
,
Nitasupport beshte wangu aje na relationship issues zake?,
,
,
,
,
Nataka kurudi kwa ex yangu.,
,
,
,
,
Long distance relationships- naeza jaribu?,
,
,
,
,
Bae wangu alicheat on me!,
,
,
,
,
Ninafeel relationship yetu inakufa.,
,
,
,
,
Past yangu inanihold back,
,
,
,
,
Nilimeet babe wangu online,
,
,
,
,
Sifeel attracted to anyone shule... niko asexual au demisexual?,
,
,
,
"Sioni raha ya sex, ni normal?",
,
,
,
,
Kuogopa kuget tested.,
,
,
,
,
Naeza control sexual urges zangu aje?,
,
,
Kuhave sex mara ya kwanza ni painful?,
,
,
,
Naezaget STIs from having oral sex?,
,
,
,
Anasema simpendi💔,
,
,
,
,
Unexpected bleeding after sex.,
,
,
,
,
Niko ready kuhave sex?,
,
,
,
,
Naskia aibu kuwa uchi tukihave sex.,
,
,
,
,
Mbona sikubleed?,
,
,
,
,
Si get wet,
,
,
,
Naeza change mind yangu?,
,
,
,
,
,
Nataka kubaki vajo lakini nafeel pressured ya kuhave sex.,
,
,
,
,
I know about cum but what's pre-cum?,
,
,
,
,
What's the right age to have sex?,
,
,
,
,
Can someone tell if you've had sex before,
,
,
,
,
Ouch! Sex hurts,
,
,
,
,
Ready ama zii?,
,
,
,
,
Losing my virginity,
