col0,col1,col2
Ask Me Anything,*Naeza control aje sexual urges zangu?*,"Bby girl! Najua inaezafeel SUPER overwhelming kudeal na sexual urges🥵, but first thing first: kuwa na sexual urges ni completely normal!💫 Si kitu ya kuwa embarrassed or shy about - it's a natural part of growing up. Ukiwa na an urge haimean you have to act on it. Just being aware na kulearn vile body yako hureact ni good enough ❤️

YUP, sexual desire ni part of puberty. Inashow vile hormones na feelings zetu zina-evolve... but imagine, haimean iko same for everyone - and that's pretty cool. 
Najua saa zingine inaeza get stressful... especially vile kuna hawa wadau wanatry ku kuconvince that hufai kufeel that way.

Lakini we juwa hivi...As long as huact on your sexual urges in ways zenye zitaharm au kupea wasee wengine pressure, it isn't ANYONE else's business! Uko na right to your privacy; YOUR BODY, YOUR RULES🔊 So go forth and learn more about your desires, boo!💅🏽✨
Whew, lots to learn and understand. Unaezataka kulearn a little more about this?        "
,,
Ask Me Anything,*'Sifeel attracted to anyone shule... niko asexual au demisexual?'*,"Yaani, niko so proud of you for asking questions wasee wengine wanaeza kua scared kuuask ❣️ Hii ni kitu fiti sana kuexplore! 

As we go through puberty, tunacheki vile many of our friends wakidevelop sexual urges, wanastart kuwa attracted to people and maybe even wanastart kuhave sex. Inaeza feel like we should all be going through the same thing at the same time - but lemme tell you smth Maina, kwa grao vitu ni different, okay?😗

Attraction ni dfferent for kila mtu - ata sisi wenye hatuifeel at all ❤️ It's all okay, love.

Kuna forms different za attraction - emotional, sexual and romantic. Na si hu ziexperence differently, it's always evolving. Tunaeza feel one or all of these types of attraction, think about vile unafeel about friends, crushes or family members ❤️ Ways zenye tunajifind attracted to others ni fluid 🌊 hakuna kitu iko set in stone so usijipe pressure ya kuhave it all figured out saa hii saa hii.  
  
Life ni journey, and so is your sexuality. Sometimes labels hu-suck but times zingine inaezafeel good to feel clearer about identity yako. As I always say, u know yourself! Keep asking questions, keep exploring, keep growing. You've got this! 💪

Kama unataka kujua what you can expect, I can give u more details, interested?"
,,
Ask Me Anything,*Kuhave sex the first time ni painful?*,"Nakulombotov big tym for asking ❤️ Ni natural kabisa kua curious about how sex itafeel and if you'll be uncomfortable or not. Especially time unaenda through puberty - hizo hormones ni hectic! Si ndio? 😫  Let's get talking about virginity, wasee wengi humake it a big deal so I'm glad unalook out for yourself.         

My best tip: Kama unafeel uncomfortable or worried, speak to your partner na umake sure mnatake things slow, use lube and take breaks when you need to! Na kama bado hufeel comfortable or unafeel pain, trust that feeling and stop🤚🏽. Unaeza jaribu siku ingine. Mresh, u know your body! Ukiexperience regular pain during sex, remember you can always speak to a health professional and figure out the best thing for your wellbeing ❤️

And remember, first time with a new partner haitafeel perfect. Si Telemundo😅 So just be kind to yourself and to them, as you learn about what you both enjoy together."
,,
,,
Ask Me Anything,"*""Contraception inaezaaffect my fertility?""*","Whew, I get why unaneed kuask hii question, babes ❤️ Using contraception is a big deal na unataka kuwa sure that unamake the right decision for yourself.

Your best move ni kuenda to a clinic or pharmacy, uchat na health professional and they'll be able to answer any ❓❓❓ you have. But wacha niclear this up real quick: jibu ni nope!🙅🏽‍♀️
Contraception doesn't lead to long-term infertility. Inahelp kuprevent pregnancy during the time unachoose kuitumia.

Methods kama IUD or implants zinaeza kuwa used for up to 5 years! Noma aje?😜
Hio time ikipass na zitolewe, hormones zako zita jibalance out tena and you'll be more fertile again. No worry necessary! (But babes, please remember to ALWAYS use a condom, juu hormonal contraceptives don't protect you from STIs.)

Babes, ka bado unafeel worried about this, you know what I always says, right? Please enda kwa clinic or pharmacy and chat to a health professional ❤️
Unataka kulearn a little more?"""
,,
Ask Me Anything,*Risks za kumiss a pill ni?*,"Ku-use contraception inaezafeel weird na tricky when you're just getting started. It's why me husema you should get advice from a health professional about it ❤️

Haya, tudive in - ukiwa on a contraceptive pill ni must you take it EVERYDAY AT THE SAME TIME. Which is why many girls hufreak out when they miss one, kuna an increased chance ya kuget ball if they have sex bila condom🤰🏾. Pleeeeease make sure you use a condom each time, especially ukimiss a pill (for at least 7 days after you miss one).

Wacha tudrop some quick info here: kuna types different za hormones in your contraceptive pills... zile ziko na progestin na estrogen zenye unatake over 21 days, then take a break for 7 days. Zile ziko na progestin only ni the most common, juu ni zile unatake every day bila break. Ukiongea na a health professional they'll let you know how to take your pills💊

Ukispeak to a health professional they'll let you know how to take your pills💊 Babes, imagine don't be shy, if you're unsure, wako there to help!"
