test_text,retrieval_id,cos_sim,cos_distance,label
I have a question periods zangu zimemiss hii month but cjakuwa na penetrative sex the last thing we did was dry humping with my man can I get pregnant for I am really worried about it.,654,0.99999994,5.9604645e-08,1
What causes bad smelling v discharge?,578,1.0,0.0,1
How can I get twins,579,1.0000001,-1.1920929e-07,1
When is the right time to break my virginity,371,1.0,0.0,1
"I broke up with my girlfriend a year ago and I need her back,  but she keeps on reminding me how I broke her heart. So she always refuses to forgive me for that past and she has already moved on.. what should I do to get her back cause I can't stop thinking of her every night 🥹",488,1.0000001,-1.1920929e-07,1
Is it ok for a woman to make the first move kwa dude,366,1.0,0.0,1
2024-09-03T13:14:01.396521Z,364,0.9726645,0.027335525,0
Can p2 fail,491,1.0,0.0,1
Musturbation Hai reduce sex duration,373,1.0000001,-1.1920929e-07,1
Lend me with ten thousand I pay fees for my brother and pay house and buy something to eat I'll refund back please and God will bless you please,438,0.2846264,0.71537364,0
Does a girls Virgina gets wet before sex,492,1.0000001,-1.1920929e-07,1
"Mmmmmh the first time I had sex ,,  sikutumia   protector so  inabidi nmetumia P2 ofwc ilifanya menstruations yangu kuwa regular sasa sijui exact day nanyesha then  ,,",646,1.0,0.0,1
Is it normal to have pain cramps after period and blood spotting?,548,0.99999994,5.9604645e-08,1
Kuna shida if you boyfriend anakuweka kidole wakati mna make out?,418,1.0000001,-1.1920929e-07,1
2024-01-30T14:42:01.864904Z,364,0.97555286,0.024447143,0
OK so I've been in a relationship with this guy for like 3 years and for all this time i feel like there's nothing to show for it.there were times that he would give me silent treatments and all that so i decided to disconnect emotionally from the relationship and eventually ended things with him cause i felt as though i wasn't valued.After some time he came back and apologized acknowledging that he was starving me of his time and attention.my question is what do i do with him coz honestly speaking i have no connections to him,453,1.0000001,-1.1920929e-07,1
"I have this recurring signs ,,, itching kwa vagina na thick white discharge that stick on the vaginal walls,,,it comes and goes after sometime,,,huwa inarudi like after two months",358,1.0000001,-1.1920929e-07,1
Is sex bad,592,1.0000001,-1.1920929e-07,1
2024-05-06T14:11:02.129328Z,364,0.9579453,0.042054713,0
I am a girl but I sometimes crush on girls.what should I do,556,1.0,0.0,1
"I have this guy we have known each other for a month now we have been friends lakini apparently we have fallen in love he tells me how he loves me 😍 and from his actions I am truly telling how much he loves me , He has went ahead and introduced me to his parents through a phone call with the saying that hataki kunidate na sijui wazazi wake, The guy stays in Nairobi me I stay in eldoret we have never meet we meet online and we became friends and we loved each other, He helps me whenever I need help he calls me on video calls and even on normal calls , I can tell we have bonded alot were now getting two months since, He is 24 am 20 please advice me here",473,1.0,0.0,1
"Am lazy ,I feel tired and am worried juu ndio naanza semester like nataka kukua energetic....unaeza nipea tips",435,1.0000001,-1.1920929e-07,1
So how can I use my femiplan pills to avoid my periods atleast once in a while because I have really painful periods?,386,1.0,0.0,1
What course the smell that come from Virginia,480,1.0,0.0,1
I'm currently in a three years relationship with a guy n off late he's been acting funny since last year October......I found out he's in a relationship with his baby mama and the mode of their convo is kinda suspicious.....I asked but he denied the whole affair and stated that they only talk of the child's welfare........around last week or so he posted her on WhatsApp n screensaver to his phone.....wen I asked he stated that it was a dare.....his behaviour has tremendously changed yet he keeps claiming to love me and does not want to lose me.....I'm kinda confused with where I'm in his life,660,1.0000001,-1.1920929e-07,1
"I feel so bad , my boyfriend flirts with girls so much . What to do?",683,1.0,0.0,1
What do you do when you love someone buy not ready to have sex with him but afraid to tell him?,532,1.0,0.0,1
How long does mensuration last,472,1.0,0.0,1
3,675,0.7002391,0.29976088,0
I want to know people,478,1.0000001,-1.1920929e-07,1
"Have been dating someone since last year December he loves me so much we have never had sex but we exchange nudes and everything we ever kissed but we are having troubles in our relationship my love for him has developed more and we don't get time for us ,,he has reduced the way he calls and texts me what could be the problem",433,1.0000001,-1.1920929e-07,1
"Kàma umepatana na boyfriend online na hamjawai meet bt huwa mnabonga through video calls then he tells you that anakupenda ntajuaje?  Secondly he needs you to trust him,,,how should I do or know about him?",345,1.0,0.0,1
Oky,398,0.35602394,0.6439761,0
How can I fix my relationship after entertaining another man in my life,656,1.0,0.0,1
How about masturbation,601,1.0000001,-1.1920929e-07,1
2024-04-25T10:29:01.443805Z,364,0.9696154,0.0303846,0
"I like my partner a lot but then I feel like am not ready to break my virginity am a little afraid of letting it go but my partner really want us to make out and when I tell him how I feel he says that it's just impossible to love him and not make love to him , Wazzi I want to but am just afraid of loosing my virginity rn what should I do ?",393,1.0,0.0,1
I'm pregnant and don't want to keep it what should I do??,456,1.0,0.0,1
How does someone get confidence and be sexually active after worst experience in relationships that made her not to like sex,634,1.0,0.0,1
Is virginity necessary for a happy marriage?,672,1.0,0.0,1
2024-05-20T13:09:01.153557Z,364,0.9667076,0.033292413,0
Yup!,398,0.6783156,0.32168442,0
What is the Best age to loose virginity,504,1.0,0.0,1
What can be causing recurring yeast infections and candidiasis,516,1.0000001,-1.1920929e-07,1
Nimekua nilitumia depo for the last 9months...let's say a year na cjawai nyesha Hadi leo is it normal,600,1.0000001,-1.1920929e-07,1
due,409,0.25668532,0.7433147,0
"nikinyesha napatanga vitu zinakaa pimples but they aint pimples na nikizifinya huwa hazitoi maji instead they get painful,,,,,,,,na haziiishi what could be the problem",546,1.0,0.0,1
"What do you do when you feel like everyone doesn't want you in your life... starting from your parents,friends and even boyfriend?",549,1.0000001,-1.1920929e-07,1
Sex inaezafanywa na mtu yeyote.l mean  hata under 18,486,1.0,0.0,1
2023-12-03T04:46:01.604267Z,364,0.9912286,0.0087714195,0
