test_text,retrieval_id,cos_sim,cos_distance,label
2023-12-16T20:43:01.519537Z,188,0.2579135,0.7420865,0
Naeza jua more of njia za kupangwa uzazi,347,0.58491623,0.41508377,1
Is it a must itumike direct,341,0.20443934,0.79556066,1
Mwanaume anafaa kuvaaa condom aje,324,0.6492891,0.35071093,1
Sasawqa,170,0.42375654,0.57624346,0
5,309,0.30477187,0.6952281,0
Mtu anafaa kuhave sex mara ngapi week,165,0.6473002,0.35269982,1
Nkona mpoa... I am supposed to be going job next year.. job ya majuu I really love my man .... we discussed about it akadai mih nifocus na dream yangu .... is he real ama si mse mfitti... ?? Ama ananiambia niende ndo apate dem mwingine?,377,0.5783479,0.42165208,1
How can I know the best family planning method for my body?,203,0.43496072,0.5650393,1
lazima,53,0.47347572,0.5265243,0
Some options to grow my sex and relationship,309,0.4707692,0.52923083,1
"So,,,nikona boyfriend na we have never ever had sex.. na every time tukiongea we like have this feeling of intimacy and sijui nifanye aje cause I feel like he's bored with me cause we have never had sex.... My question is what is the best move to make?",115,0.5818248,0.41817522,1
Does one have to peak or orgasm to get pregnant?,289,0.5059424,0.4940576,1
How effective is contraceptive,285,0.6502239,0.3497761,1
"What if before alete huyo dame nilimuongelesha nikamuambia mimi staki amlete ila bado tu limleta, wanaishi wawili kwa.single room.",112,0.53465146,0.46534854,1
"Nilimove in na boyfriend yangu who happens to be my work mate, nafeel naboeka kuishi na yeye juu wazazi wake wanatueka pressure ya kuona na hatuna stable income. Nataka kumove out nitamuwmbia aje pia nafeel ni kama Ako emotionally abusive",128,0.6778352,0.32216477,1
Niko na vidonda painless on my private part na huwa zinatoa uzaa,312,0.53745943,0.46254057,1
Does canida iko under STI,43,0.43866727,0.5613327,1
My boyfriend always touches My boobs and it pains how can I tell him to stop and he also pinches my nipples till they leak milk it's too painful what should I tell him?😭😭,34,0.4112239,0.5887761,1
"My concern ni the after period smell..., Just the following day after the last day of my period i experience some smell why??",162,0.4703809,0.5296191,1
"My lady is experiencing burning sensation,, while urinating (Q) is that UTI",262,0.39265144,0.60734856,1
What are the effects of masterbation,175,0.4264887,0.5735113,1
"Im at that point where suddenly i dont have friends nabaki kwa nyumba whole day crying ,sleeping like nothing in my life is going well",98,0.5872863,0.4127137,1
"so hi wazzii,my question is ..can I get pregnant on my fourth day after periods",265,0.47111765,0.5288824,1
Safe days zako za kuhave unprotected sex  after your periods hukuwa ngapi?,265,0.6834673,0.31653267,1
2024-04-18T15:18:01.233083Z,188,0.28074643,0.71925354,0
"I feel so bad , my boyfriend flirts with girls so much . What to do?",34,0.34451622,0.6554838,1
Is sex good and why,122,0.52777123,0.47222877,1
So how can I use my femiplan pills to avoid my periods atleast once in a while because I have really painful periods?,164,0.49596205,0.504038,1
Noma,330,0.415406,0.584594,1
Nitafanya aje ili ni last long kwa bed,270,0.54630667,0.45369333,1
2024-08-22T16:31:01.521402Z,125,0.25572124,0.7442788,0
2023-12-29T13:12:01.485233Z,125,0.25010818,0.7498918,0
Am 20yrs and am a virgin but I really want to have sex but am afraid,243,0.6050905,0.3949095,1
Can HIV aids transmitted through sperms,86,0.5705037,0.4294963,1
2023-11-15T07:26:02.066637Z,125,0.2551353,0.7448647,0
How can one heal from a seven years. Relationship heart break,166,0.3318116,0.6681884,1
What do you do when you love someone buy not ready to have sex with him but afraid to tell him?,43,0.42209107,0.57790893,1
Types of sex styles,336,0.42634192,0.5736581,1
How to say or react when my boyfriend says that today he has been with her ex?  I have felt so bad should I tell him or not kindly advice,34,0.36970076,0.6302992,1
In which condition can an emergency contraceptive pill fail to work efficiently,306,0.5340899,0.46591008,1
How can I be able to control my sexual urges,155,0.6200207,0.3799793,1
What causes bad smelling v discharge?,6,0.4592533,0.5407467,1
