test_text,retrieval_id,cos_sim,cos_distance,label
2023-12-16T20:43:01.519537Z,352,0.30935776,0.69064224,0
Naeza jua more of njia za kupangwa uzazi,89,0.69961125,0.30038875,1
Is it a must itumike direct,306,0.19453764,0.80546236,1
Mwanaume anafaa kuvaaa condom aje,252,0.7241407,0.2758593,1
Sasawqa,170,0.42511708,0.5748829,0
5,125,0.24710268,0.7528973,0
Mtu anafaa kuhave sex mara ngapi week,161,0.6868048,0.31319523,1
Nkona mpoa... I am supposed to be going job next year.. job ya majuu I really love my man .... we discussed about it akadai mih nifocus na dream yangu .... is he real ama si mse mfitti... ?? Ama ananiambia niende ndo apate dem mwingine?,377,0.5763268,0.4236732,1
How can I know the best family planning method for my body?,1,0.6749517,0.32504833,1
lazima,53,0.50048304,0.49951696,0
Some options to grow my sex and relationship,59,0.51807606,0.48192394,1
"So,,,nikona boyfriend na we have never ever had sex.. na every time tukiongea we like have this feeling of intimacy and sijui nifanye aje cause I feel like he's bored with me cause we have never had sex.... My question is what is the best move to make?",115,0.6498491,0.35015088,1
Does one have to peak or orgasm to get pregnant?,289,0.6083967,0.3916033,1
How effective is contraceptive,285,0.60224324,0.39775676,1
"What if before alete huyo dame nilimuongelesha nikamuambia mimi staki amlete ila bado tu limleta, wanaishi wawili kwa.single room.",75,0.609363,0.39063698,1
"Nilimove in na boyfriend yangu who happens to be my work mate, nafeel naboeka kuishi na yeye juu wazazi wake wanatueka pressure ya kuona na hatuna stable income. Nataka kumove out nitamuwmbia aje pia nafeel ni kama Ako emotionally abusive",37,0.70868284,0.29131716,1
Niko na vidonda painless on my private part na huwa zinatoa uzaa,358,0.65345466,0.34654534,1
Does canida iko under STI,330,0.42889556,0.5711044,1
My boyfriend always touches My boobs and it pains how can I tell him to stop and he also pinches my nipples till they leak milk it's too painful what should I tell him?😭😭,34,0.57385653,0.42614347,1
"My concern ni the after period smell..., Just the following day after the last day of my period i experience some smell why??",99,0.52793264,0.47206736,1
"My lady is experiencing burning sensation,, while urinating (Q) is that UTI",6,0.43994215,0.5600579,1
What are the effects of masterbation,301,0.5405283,0.4594717,1
"Im at that point where suddenly i dont have friends nabaki kwa nyumba whole day crying ,sleeping like nothing in my life is going well",235,0.44610235,0.5538976,1
"so hi wazzii,my question is ..can I get pregnant on my fourth day after periods",195,0.4148346,0.5851654,1
Safe days zako za kuhave unprotected sex  after your periods hukuwa ngapi?,320,0.7443739,0.25562608,1
2024-04-18T15:18:01.233083Z,352,0.3160007,0.6839993,0
"I feel so bad , my boyfriend flirts with girls so much . What to do?",34,0.527211,0.472789,1
Is sex good and why,9,0.4992681,0.5007319,1
So how can I use my femiplan pills to avoid my periods atleast once in a while because I have really painful periods?,164,0.51378065,0.48621935,1
Noma,106,0.39682263,0.60317737,1
Nitafanya aje ili ni last long kwa bed,369,0.6050869,0.39491308,1
2024-08-22T16:31:01.521402Z,352,0.32055086,0.67944914,0
2023-12-29T13:12:01.485233Z,352,0.3110203,0.6889797,0
Am 20yrs and am a virgin but I really want to have sex but am afraid,88,0.6108414,0.3891586,1
Can HIV aids transmitted through sperms,86,0.57862896,0.42137104,1
2023-11-15T07:26:02.066637Z,352,0.32474187,0.67525816,0
How can one heal from a seven years. Relationship heart break,118,0.3767932,0.6232068,1
What do you do when you love someone buy not ready to have sex with him but afraid to tell him?,43,0.47562602,0.524374,1
Types of sex styles,59,0.4801427,0.5198573,1
How to say or react when my boyfriend says that today he has been with her ex?  I have felt so bad should I tell him or not kindly advice,141,0.43513077,0.5648692,1
In which condition can an emergency contraceptive pill fail to work efficiently,285,0.5548195,0.44518048,1
How can I be able to control my sexual urges,155,0.60844237,0.39155763,1
What causes bad smelling v discharge?,6,0.53577375,0.46422625,1
I want to know about growth in Breast,132,0.45134836,0.54865164,1
2023-12-15T13:18:01.218657Z,352,0.32040372,0.6795963,0
How old are u,32,0.43388337,0.56611663,0
Implantation blood hutoka after how long,56,0.5082263,0.49177372,1
Why would a man ask me to take medicine before sex that is harmful,328,0.39265108,0.6073489,1
2023-12-17T20:13:01.348355Z,352,0.310649,0.68935096,0
How do you let go of someone who you still love soo much yet you know at some point he did you wrong but he still comes back?,34,0.4639612,0.53603876,1
Na hii wazii ina maanisha nn,254,0.65266764,0.34733236,1
It's just about sex,204,0.45752752,0.5424725,1
Is virginity necessary for a happy marriage?,113,0.37881806,0.62118196,1
My bestfriend is suicidal. I don't know what to do,98,0.3309076,0.6690924,1
Kwanini time nahave  sex  penis huumia na unapata sometimes ngozi  inakwaruzwa  na hata pengine kutoka?,323,0.75269717,0.24730283,1
"After having unprotected sex, with what time should one take P2?",320,0.59633344,0.40366656,1
"If your doing sex then you released outside in the first round, the second round you released insidd can the girl conseave or pregnate",289,0.6053835,0.39461648,1
2023-12-01T11:50:01.442484Z,352,0.31677464,0.6832254,0
What should I do coz I'm very thirsty 4 smashing,145,0.32483387,0.67516613,1
I just want to learn about contraceptives,1,0.6366552,0.3633448,1
My beb ni kama ananicheat aki ntajua aje,369,0.6509992,0.3490008,1
Kwani Kuna periods zinaenda for 30 days because unasema ati kama longest cycle yangu ni 30 days...azin I can't get it well,376,0.684037,0.31596297,1
Is it good to have sex n condom for a first timer,88,0.59838635,0.40161365,1
I was asking if u wazii... help one to find a job,353,0.4431833,0.5568167,0
Viagra hutake how long uki have sex ukimeza full medicine,149,0.60467,0.39533,1
For how many hour mtu anafaa kua na pad??,300,0.62283427,0.37716573,1
Naeza Fanya aje kudeal na toxic environment from my parents,353,0.55092937,0.44907063,1
What causes ectopic pregnancy,102,0.38343224,0.61656773,1
2024-10-21T20:26:01.342790Z,352,0.31257728,0.68742275,0
Nitoe 5k juu ya kuona dem wacha tu😂😂🫵(.is this a red flag I should watch out for?),260,0.55706364,0.44293636,1
I'd like to know more about the coil,230,0.35218996,0.64781004,1
I have fallen in love with someone... And soon is planning to go abroad... My partner promise to vone back for me and that stuff... I dont know if i should continue with the relationship or quit,239,0.516412,0.48358798,1
Is it normal ku kua na desire ya ku have sex ukiwa on your periods,209,0.6643905,0.3356095,1
Like can I have some of the conversation starters when someone is shy,146,0.26332232,0.73667765,1
Hello,344,0.3563767,0.6436233,1
Hivi Mpera ni dawa ya kuzuia mimba,27,0.77010214,0.22989786,1
How do you work and what type offer do you give out,321,0.28002062,0.7199794,1
I had an anxiety attack today.. nmeanza tu kulia non-stop na nlikuwa nashake for no reason... I mentally sick,300,0.54188514,0.45811486,1
Being in love with a married man,18,0.3759568,0.6240432,1
Yup!,179,0.2900519,0.70994806,0
ni poa kusumbuana,369,0.7468825,0.2531175,1
Why do I eat tissue too much I mean tishu ya choo😭 am serious btw i do eat and swallow,61,0.3816804,0.61831963,1
Does a girls Virgina gets wet before sex,39,0.6335223,0.36647773,1
I was asking about relationship yunno mimi ni introvert na unajua how tunakuwanga so like I needed some advice on how to start a relationship with someone hope unaniget,128,0.54573745,0.45426255,1
Mtu anaeza beba mimba ya watu wawili,370,0.7448519,0.2551481,1
2023-12-22T15:18:01.271911Z,352,0.31372115,0.6862788,0
Which style is most suitable for first time sex,59,0.5439286,0.45607138,1
Ok let's say I am addicted to masturbation then  nimeacha. Nikihave sex namwaga haraka because of effects za masturbation. Is there any way I can improve in sex performance ama hiyo effects ni permanent??,301,0.6373586,0.3626414,1
Where can I get counselling services at a cheap price,292,0.30626482,0.6937352,1
I know it's weird but aki mnihelp nipate job,347,0.59328866,0.40671134,0
i took 3 month depo provera family planning injection then amonth later nikaanza kupata some irregular heartbeats are they related in any way can it be the root cause,267,0.49569562,0.5043044,1
Why didn't i receive any response,202,0.24372347,0.75627655,0
"I have irregular periods,so this time I started and they stopped the same day but bado cramps zilikuwa then nikakaa for like one day halafu ikaanza tena but in a more painful way ,is it normal?",229,0.61462784,0.38537216,1
Ok so I went to see my boyfriend while on my sec day of my period and we had sex but my period still continued and ended .....could I still get pregnant ?,19,0.48098862,0.5190114,1
Is it bad for being a virgin,66,0.51434016,0.48565984,1
Can p2 fail,355,0.42973384,0.5702661,1
So apparently nikona shida na sijai pata solution uncle yangu alinislap akanipiga ju nilienda Ku visit my divorced father ju waliachananga na mum namwonanga naskia apana sjai msamehea ju si rahisi nidoo,292,0.62167716,0.37832284,1
Can the breast be of the sama size,56,0.3453124,0.65468764,1
Sasa nko na mamaa na ameniitia mechi kesho usiku...na amesema she needs a good game Sasa apa kwa good game ndo najiuliza how good is a game?,363,0.54640454,0.45359546,1
Why cant you send small videos that i see you guys posting on Facebook,163,0.27144572,0.72855425,1
Sawa so a guy had unprotected sex with me two weeks ago i felt pain son we stopped almost immediately and he didn't finish at all now im 5 days late for my period what should i do and i have a boil on my vagina that came 2 days ago,102,0.49874285,0.5012572,1
How can  I know my love language,18,0.46001995,0.53998005,1
One of my frnds told me tht at her pleasure she feels pain in her genital bt I don't know to tell her,180,0.4450864,0.55491364,1
