test_text,retrieval_id,cos_sim,cos_distance,label
How can I make my love relationship healthy and going,243,0.4347283655002161,0.5652716344997839,1
2023-10-15T18:45:01.481822Z,227,0.1876201519447498,0.8123798480552502,0
is it normal for someone to masturbate?,194,0.4667215377176335,0.5332784622823665,1
Why do I feel that relationship's are boring,283,0.418414856452864,0.581585143547136,1
Some options to grow my sex and relationship,316,0.5000061419800857,0.49999385801991425,1
"Okay, it's about friendships. Do you think it's okay if your friend always tells you openly of how people don't like you or how other people think you're ugly?",301,0.360735172636365,0.639264827363635,1
One of my b**bs feels a bit harder than the other one...is it a matter of concern😔😔😔,287,0.36135060002678965,0.6386493999732104,1
1,221,0.2608524354236665,0.7391475645763335,0
"AM 21old,and my girlfriend she 23old,so my question is..Does this will work realy?",257,0.3449502110101091,0.655049788989891,1
Do men need woman?,250,0.2423548659973299,0.7576451340026701,1
2023-12-30T13:45:02.208912Z,227,0.20714296670243001,0.79285703329757,0
One of my frnds told me tht at her pleasure she feels pain in her genital bt I don't know to tell her,37,0.45502616293720705,0.544973837062793,1
"I have this recurring signs ,,, itching kwa vagina na thick white discharge that stick on the vaginal walls,,,it comes and goes after sometime,,,huwa inarudi like after two months",30,0.633484212728573,0.366515787271427,1
Yeast infection ni sti,330,0.5438418870487043,0.4561581129512957,1
Are the contraceptives really good for one who haven't given birth yetm,120,0.5338565511364184,0.4661434488635816,1
Is arbotion safe?,356,0.45075026114147476,0.5492497388585252,1
Safe days huwa after how many days after your periods?,0,0.4596552962685086,0.5403447037314915,1
How should I avoid sex intercourse im an addict,215,0.4367088037450838,0.5632911962549162,1
Naeza pata mchumba huku,371,0.5925137368252374,0.40748626317476255,1
How to avoid pregnancy,201,0.5980193574349044,0.4019806425650956,1
I'm currently in a three years relationship with a guy n off late he's been acting funny since last year October......I found out he's in a relationship with his baby mama and the mode of their convo is kinda suspicious.....I asked but he denied the whole affair and stated that they only talk of the child's welfare........around last week or so he posted her on WhatsApp n screensaver to his phone.....wen I asked he stated that it was a dare.....his behaviour has tremendously changed yet he keeps claiming to love me and does not want to lose me.....I'm kinda confused with where I'm in his life,371,0.39457995466875173,0.6054200453312483,1
If a guy shows interest in you alafu ukuwe hauko ready kugive in juu nimejieka celibate is it bad to tell him ??,269,0.5372282015714112,0.46277179842858884,1
Naweza mix pills zakumeza,261,0.5707231263015942,0.42927687369840584,1
"Thank you 💯, , I understand one of the reasons he can't commit into a relationship is because of our religious differences, and the fact that if my parent ever caught us, things will get messy for both of us. But am willing to try and see how it'll be if we would date., , Stuck between two decisions, keeping things as they are, like we're kinda dating it's just that the 'relationship' name is not present, or calling it off because of his reasons that I don't agree with..., , Any advice?",32,0.40190504836130414,0.5980949516386959,1
What cud be the problem when a girl has sex without protection and still don’t get pregnant?,93,0.4594952705188427,0.5405047294811574,1
What are the effects of masterbation,377,0.4632955441033681,0.5367044558966318,1
Utajua aje manzi ananyesha,174,0.5494001093060128,0.4505998906939872,1
Why is that many of youth living with HIV are in fear mostly they are weak and sad,106,0.3884319433949241,0.6115680566050758,1
How do I make the lady who made me join this platform my girlfriend. She's cute I really like her,36,0.32072447489090966,0.6792755251090903,1
3,122,0.27009629706191735,0.7299037029380826,0
Kuna shida if you boyfriend anakuweka kidole wakati mna make out?,242,0.5352940136215598,0.4647059863784402,1
3,122,0.27009629706191735,0.7299037029380826,0
What course the smell that come from Virginia,111,0.2383880594762601,0.7616119405237399,1
What are the earliest signs of STIS,355,0.46844350672147983,0.5315564932785202,1
2023-09-22T14:14:01.376747Z,13,0.18315966218478097,0.816840337815219,0
How can I release an air ball during sex,307,0.4051936552763008,0.5948063447236992,1
2023-09-22T10:04:01.785171Z,13,0.18006818408038017,0.8199318159196198,0
"Am lazy ,I feel tired and am worried juu ndio naanza semester like nataka kukua energetic....unaeza nipea tips",345,0.47770038394363057,0.5222996160563694,1
Je mnatafutia mtu partner,225,0.52485527273881,0.47514472726118995,1
2023-09-16T10:54:01.134018Z,13,0.18662373361995413,0.8133762663800459,0
Can one masturbate without watching pornographic content,240,0.4225931983328407,0.5774068016671593,1
2024-08-22T16:31:01.521402Z,227,0.16627563288818273,0.8337243671118173,0
self,126,0.2664693795120223,0.7335306204879777,0
How can I improve my performance in bed cause i us to lust for 2min,74,0.47977650823171536,0.5202234917682846,1
Is it good to have friends with benefits? Juu like currently am not dating but sometimes i feel i need a man for sexual desires,119,0.4684715171039936,0.5315284828960064,1
Can I get pregnant when I have sex during my period time,302,0.42349221430490347,0.5765077856950965,1
Like is wazii on what's app,81,0.42390543686044996,0.57609456313955,1
issue,163,0.21296817282579258,0.7870318271742074,1
by,227,0.22575412956560312,0.7742458704343969,0
What days am I safe if my periods started on 23April and ended on 27April?,0,0.3488530918699954,0.6511469081300045,1
Yup!,324,0.2663660835394976,0.7336339164605024,0
Lend me with ten thousand I pay fees for my brother and pay house and buy something to eat I'll refund back please and God will bless you please,14,0.23464016272991592,0.765359837270084,0
Bytheway naongea n nn plzz,381,0.4814957434104069,0.5185042565895931,1
